plant_id_eia,technology_description,class_atb,cf_atb
60528,Solar Photovoltaic,9,0.22047669886675608
60529,Solar Photovoltaic,9,0.22047669886675608
60530,Solar Photovoltaic,9,0.22047669886675608
60531,Solar Photovoltaic,9,0.22047669886675608
60532,Solar Photovoltaic,9,0.22047669886675608
60533,Solar Photovoltaic,9,0.22047669886675608
60534,Solar Photovoltaic,9,0.22047669886675608
60535,Solar Photovoltaic,5,0.26753870312354816
60537,Solar Photovoltaic,10,0.20237932814438855
60538,Solar Photovoltaic,6,0.2537975724560726
60539,Solar Photovoltaic,6,0.2537975724560726
60540,Solar Photovoltaic,6,0.2537975724560726
60542,Solar Photovoltaic,10,0.20237932814438855
60544,Solar Photovoltaic,5,0.26753870312354816
60546,Solar Photovoltaic,6,0.2537975724560726
60547,Solar Photovoltaic,10,0.20237932814438855
60548,Solar Photovoltaic,6,0.2537975724560726
60549,Solar Photovoltaic,6,0.2537975724560726
60552,Solar Photovoltaic,5,0.26753870312354816
60553,Solar Photovoltaic,6,0.2537975724560726
60554,Solar Photovoltaic,5,0.26753870312354816
60555,Solar Photovoltaic,6,0.2537975724560726
60556,Solar Photovoltaic,6,0.2537975724560726
60557,Solar Photovoltaic,6,0.2537975724560726
60558,Solar Photovoltaic,1,0.3202687659970471
60560,Solar Photovoltaic,6,0.2537975724560726
60562,Solar Photovoltaic,9,0.22047669886675608
60572,Solar Photovoltaic,1,0.3202687659970471
60573,Solar Photovoltaic,8,0.23163275150342633
60575,Solar Photovoltaic,6,0.2537975724560726
60576,Solar Photovoltaic,6,0.2537975724560726
60577,Solar Photovoltaic,6,0.2537975724560726
60578,Solar Photovoltaic,6,0.2537975724560726
60579,Solar Photovoltaic,6,0.2537975724560726
60580,Solar Photovoltaic,6,0.2537975724560726
60581,Solar Photovoltaic,2,0.30974988165310763
60582,Solar Photovoltaic,5,0.26753870312354816
60583,Solar Photovoltaic,5,0.26753870312354816
60584,Solar Photovoltaic,7,0.2408794703868765
60585,Solar Photovoltaic,6,0.2537975724560726
60586,Solar Photovoltaic,6,0.2537975724560726
60590,Solar Photovoltaic,1,0.3202687659970471
60591,Solar Photovoltaic,1,0.3202687659970471
60597,Solar Photovoltaic,6,0.2537975724560726
60598,Solar Photovoltaic,6,0.2537975724560726
60599,Solar Photovoltaic,6,0.2537975724560726
