plant_id_eia,re_type,latitude,longitude
7872320268565171184,offshore_wind,43.0,-86.5
3205335594377806587,offshore_wind,42.5,-86.5
1849094111835768193,onshore_wind,39.0,-93.5
420649213132327031,onshore_wind,40.0,-101.0
7165358053758918150,onshore_wind,40.5,-101.0
8464491181401579071,offshore_wind,40.5,-74.0
-2314024228498592009,onshore_wind,35.0,-106.0
-4291582693705056640,onshore_wind,42.0,-74.5
-3338854558380536756,offshore_wind,41.0,-72.5
-4127188702013518904,onshore_wind,42.0,-74.0
2684960424298841516,offshore_wind,42.5,-79.5
-1221029156934697790,onshore_wind,42.0,-79.5
-5886442768954284400,onshore_wind,35.5,-97.0
-7367408802913674687,onshore_wind,35.0,-97.0
-1479308353940794416,onshore_wind,35.0,-97.5
42468139315620481,onshore_wind,41.0,-77.5
-3150513207912750784,offshore_wind,32.0,-81.0
-647416579699785914,onshore_wind,37.0,-82.5
2594113039334399138,offshore_wind,43.0,-88.0
-5253498877293513048,onshore_wind,42.0,-110.5
-6473924198516012045,offshore_wind,28.0,-97.0
8128442707070203946,onshore_wind,46.0,-107.0
-8044765433808443581,onshore_wind,44.0,-105.5
-2956188584010856179,onshore_wind,32.5,-108.5
-7819883193695390696,onshore_wind,32.0,-97.5
8988145601773594993,onshore_wind,42.0,-108.5
5976379925097272814,offshore_wind,29.0,-94.5
6630593347261598124,onshore_wind,34.5,-95.5
-4200967407148996533,onshore_wind,46.5,-113.0
1370500104346648291,onshore_wind,46.0,-112.5
65500,offshore_wind,41.0,-71.0
61969,onshore_wind,27.5,-99.0
9990700,onshore_wind,30.0,-94.0
61782,onshore_wind,31.0,-100.5
63209,onshore_wind,32.0,-100.5
62587,onshore_wind,32.5,-100.5
62142,onshore_wind,33.0,-100.5
63981,onshore_wind,34.5,-105.5
63327,onshore_wind,34.5,-97.0
64047,onshore_wind,35.0,-98.5
9990750,onshore_wind,35.0,-90.5
58242,onshore_wind,35.5,-101.5
58765,onshore_wind,35.5,-100.5
56804,onshore_wind,35.5,-99.5
56460,onshore_wind,37.5,-103.0
63653,onshore_wind,38.0,-121.5
57762,onshore_wind,38.0,-100.5
60689,onshore_wind,38.0,-99.5
63803,onshore_wind,39.0,-103.0
65484,onshore_wind,39.0,-100.5
9990663,onshore_wind,39.0,-92.5
59975,onshore_wind,39.5,-102.0
9991170,onshore_wind,39.5,-90.0
58594,onshore_wind,40.0,-97.0
57767,onshore_wind,40.0,-90.5
9990425,onshore_wind,40.0,-89.0
61660,onshore_wind,40.0,-84.5
9991247,onshore_wind,40.5,-93.0
64230,onshore_wind,40.5,-87.0
9990972,onshore_wind,40.5,-86.5
9990310,onshore_wind,40.5,-84.0
58780,onshore_wind,40.5,-83.5
59797,onshore_wind,40.5,-74.0
7965,onshore_wind,41.0,-96.5
58885,onshore_wind,41.0,-94.0
9991221,onshore_wind,41.0,-86.5
9990308,onshore_wind,41.5,-83.5
9990722,onshore_wind,41.5,-81.0
9990564,onshore_wind,41.5,-80.5
62516,onshore_wind,42.0,-106.0
56809,onshore_wind,42.0,-95.0
9991294,onshore_wind,42.5,-94.5
57116,onshore_wind,42.5,-90.5
56805,onshore_wind,42.5,-90.0
9991153,onshore_wind,42.5,-89.5
9990407,onshore_wind,42.5,-89.0
58777,onshore_wind,42.5,-79.0
57721,onshore_wind,42.5,-73.5
60865,onshore_wind,42.5,-70.5
57427,onshore_wind,43.0,-115.5
59187,onshore_wind,43.0,-98.0
62736,onshore_wind,43.0,-77.5
61039,onshore_wind,43.0,-73.0
57199,onshore_wind,43.5,-89.0
63601,onshore_wind,43.5,-85.0
9990506,onshore_wind,43.5,-83.5
9990699,onshore_wind,44.0,-91.5
9991097,onshore_wind,44.0,-90.5
9990090,onshore_wind,44.0,-89.0
9990652,onshore_wind,44.0,-88.0
9991091,onshore_wind,44.5,-97.0
9990354,onshore_wind,44.5,-96.0
9990400,onshore_wind,44.5,-93.5
9990738,onshore_wind,44.5,-92.0
59070,onshore_wind,44.5,-71.0
60505,onshore_wind,45.0,-98.0
9991093,onshore_wind,45.5,-100.0
9990347,onshore_wind,45.5,-96.0
58692,onshore_wind,45.5,-95.0
56990,onshore_wind,45.5,-68.5
9990789,onshore_wind,46.0,-99.0
9990964,onshore_wind,46.0,-85.0
57195,onshore_wind,46.5,-118.0
56099,onshore_wind,46.5,-99.0
9990282,onshore_wind,46.5,-95.5
9991133,onshore_wind,46.5,-88.5
62263,onshore_wind,47.0,-119.5
9990759,onshore_wind,47.5,-100.5
9991161,onshore_wind,48.0,-101.0
9991228,onshore_wind,48.0,-97.5
9991268,onshore_wind,48.0,-96.0
9991087,onshore_wind,48.5,-103.5
6304,onshore_wind,67.0,-162.5
63900,solar,20.0,-156.0
65922,solar,27.0,-80.5
61767,solar,29.0,-81.0
63517,solar,29.5,-82.5
59691,solar,30.5,-87.5
65866,solar,30.5,-87.0
59994,solar,31.0,-103.5
62483,solar,31.0,-103.0
65879,solar,31.0,-82.0
65293,solar,31.5,-89.5
64580,solar,32.0,-111.5
64426,solar,32.0,-111.0
57575,solar,32.0,-108.0
61906,solar,32.0,-103.0
60467,solar,32.5,-111.5
58486,solar,32.5,-111.0
62448,solar,32.5,-102.5
64151,solar,32.5,-84.0
61701,solar,32.5,-80.5
58467,solar,33.0,-115.5
57562,solar,33.0,-112.5
66263,solar,33.0,-111.5
60341,solar,33.0,-107.0
65734,solar,33.5,-115.5
59947,solar,33.5,-92.5
61250,solar,34.0,-118.5
61616,solar,34.0,-97.0
60535,solar,34.0,-82.0
59528,solar,34.5,-118.0
61839,solar,34.5,-92.5
61901,solar,34.5,-86.5
63833,solar,34.5,-82.5
63777,solar,34.5,-82.0
63841,solar,35.0,-114.5
64076,solar,35.0,-107.5
60359,solar,35.0,-81.0
59671,solar,35.0,-79.0
61272,solar,35.5,-114.0
63860,solar,35.5,-107.0
2953,solar,35.5,-97.5
64882,solar,35.5,-82.5
58867,solar,35.5,-79.0
64914,solar,36.0,-117.5
64850,solar,36.0,-81.0
60691,solar,36.0,-80.0
65106,solar,36.0,-78.0
64430,solar,36.0,-77.5
59513,solar,36.0,-77.0
58633,solar,36.5,-122.0
63113,solar,36.5,-114.5
63124,solar,36.5,-106.0
65445,solar,36.5,-89.5
64843,solar,36.5,-82.5
63811,solar,36.5,-80.0
59915,solar,37.0,-120.5
59531,solar,37.0,-120.0
66484,solar,37.0,-111.5
64216,solar,37.0,-108.5
64225,solar,37.0,-94.5
62768,solar,37.0,-79.0
59941,solar,37.5,-113.0
64857,solar,37.5,-108.5
65286,solar,37.5,-79.0
59979,solar,38.0,-122.0
65089,solar,38.0,-121.0
61605,solar,38.0,-106.0
64637,solar,38.0,-88.5
63929,solar,38.0,-87.0
64744,solar,38.5,-105.0
64288,solar,38.5,-90.5
64043,solar,38.5,-88.0
64904,solar,38.5,-87.5
64012,solar,38.5,-77.5
65382,solar,39.0,-121.5
66432,solar,39.0,-108.5
65084,solar,39.0,-107.0
61826,solar,39.0,-90.5
66271,solar,39.5,-107.0
65339,solar,39.5,-79.5
65304,solar,39.5,-76.0
63061,solar,40.0,-112.0
65349,solar,40.0,-89.5
65929,solar,40.0,-79.5
64327,solar,40.0,-74.0
61098,solar,40.5,-117.0
62934,solar,40.5,-116.5
65480,solar,40.5,-108.0
61884,solar,40.5,-99.0
64201,solar,40.5,-91.0
65702,solar,40.5,-87.0
58665,solar,40.5,-84.5
62408,solar,40.5,-76.5
58814,solar,41.0,-121.5
64246,solar,41.0,-86.0
62942,solar,41.0,-82.0
64223,solar,41.5,-97.0
64755,solar,41.5,-94.5
60876,solar,41.5,-91.0
60046,solar,41.5,-87.0
60923,solar,41.5,-83.0
65337,solar,41.5,-74.0
62560,solar,42.0,-120.5
65778,solar,42.0,-114.5
64097,solar,42.0,-85.5
66268,solar,42.0,-72.5
61736,solar,42.0,-72.0
64738,solar,42.5,-94.0
63838,solar,42.5,-90.0
64568,solar,42.5,-84.0
62823,solar,42.5,-76.5
65052,solar,42.5,-76.0
64374,solar,42.5,-75.5
65805,solar,42.5,-74.5
63815,solar,42.5,-74.0
60391,solar,42.5,-72.0
58964,solar,43.0,-72.5
64454,solar,43.0,-71.5
63279,solar,43.5,-75.0
62843,solar,43.5,-74.0
62037,solar,44.0,-92.0
65087,solar,44.0,-91.0
63224,solar,44.0,-75.5
59790,solar,44.5,-123.5
66351,solar,44.5,-123.0
60686,solar,44.5,-100.5
63865,solar,44.5,-75.5
62524,solar,44.5,-73.5
