plant_id_eia,plant_name_eia,generator_id,technology_description,capacity_mw,latitude,longitude,balancing_authority_code_eia,state
9990216,G620,1,onshore_wind,19,44.430749,-92.70206,MISO,MN
9990217,G621,1,onshore_wind,20,44.035805,-96.248354,MISO,MN
9990218,G622,1,onshore_wind,148.8,46.115778,-98.478795,MISO,ND
9990219,G623,1,onshore_wind,60,39.383372,-88.795673,MISO,IL
9990220,G624,1,onshore_wind,150,46.119855,-99.396278,MISO,ND
9990221,G626,1,onshore_wind,32,44.24262,-94.705888,MISO,MN
9990222,G628,1,onshore_wind,32,44.24262,-94.705888,MISO,MN
9990223,G629,1,onshore_wind,201,41.374709,-90.114223,MISO,IL
9990224,G630,1,onshore_wind,21,45.422521,-96.38442,MISO,MN
9990225,G631,1,onshore_wind,19,43.692187,-95.734382,MISO,MN
9990226,G632,1,onshore_wind,19,43.692187,-95.734382,MISO,MN
9990227,G633,1,onshore_wind,19,43.692187,-95.734382,MISO,MN
9990228,G634,1,onshore_wind,96,44.388943,-96.775495,MISO,SD
9990229,G635,1,onshore_wind,101,44.777032,-96.656055,MISO,SD
9990230,G636,1,onshore_wind,18.9,45.280767,-95.659077,MISO,MN
9990231,G637,1,onshore_wind,20,45.767801,-96.453378,MISO,MN
9990232,G638,1,onshore_wind,20,45.586837,-95.98635,MISO,MN
9990233,G639,1,onshore_wind,19.5,43.691893,-95.129111,MISO,MN
9990234,G640,1,onshore_wind,30,46.0633,-94.891414,MISO,MN
9990235,G643,1,onshore_wind,20,43.350332,-92.769601,MISO,IA
9990236,G644,1,onshore_wind,20,45.586837,-95.98635,MISO,MN
9990237,G647,1,onshore_wind,102,42.606984,-85.891756,MISO,MI
9990238,G648,1,onshore_wind,101,39.678425,-87.743393,MISO,IL
9990239,G649,1,onshore_wind,300,39.678425,-87.743393,MISO,IL
9990240,G650,1,onshore_wind,99,48.219494,-102.318377,MISO,ND
9990241,G651,1,onshore_wind,115,48.788643,-98.447467,MISO,ND
9990242,G652,1,onshore_wind,48,41.357601,-82.620194,MISO,OH
9990243,G654,1,onshore_wind,250,39.629555,-90.88281,MISO,IL
9990244,G656,1,onshore_wind,500,40.608823,-87.300417,MISO,IN
9990245,G657,1,onshore_wind,20,45.579135,-95.432801,MISO,MN
